n=10  p=1 
 
0,0033071	207
0,00194001	207
0,00222611	207
0,00179601	207
0,00181913	207
0,00217891	207
0,00184083	207
0,00195909	207
0,002249	207
0,002316	207
 
n=20  p=1 
 
0,039227	3755
0,039443	3755
0,040695	3755
0,0413032	3755
0,040524	3755
0,0384309	3755
0,039135	3755
0,039839	3755
0,0374079	3755
0,0408671	3755
 
n=30  p=1 
 
0,134599	6957
0,133032	6957
0,133079	6957
0,133723	6957
0,134113	6957
0,137431	6957
0,145222	6957
0,134069	6957
0,13421	6957
0,134594	6957
 
n=35  p=1 
 
1,79045	71107
1,78551	71107
1,78074	71107
1,78209	71107
1,78525	71107
1,79516	71107
1,85212	71107
1,81482	71107
1,85163	71107
1,86624	71107
 
n=10  p=2 
 
0,00237393	131
0,0019691	164
0,00198889	165
0,00163412	131
0,00102806	164
0,00171208	148
0,0029099	161
0,00203395	165
0,00201702	161
0,00194883	164
 
n=20  p=2 
 
0,041894	2524
0,036664	2846
0,0458379	2682
0,0317142	2377
0,0354478	2495
0,036999	2623
0,0278289	2387
0,0451279	2762
0,043797	2557
0,038765	2583
 
n=30  p=2 
 
0,139641	6521
0,138767	6490
0,14223	6574
0,138204	6149
0,188521	6333
0,141243	6447
0,159951	6091
0,136661	6497
0,141311	6254
0,147067	6738
 
n=35  p=2 
 
1,09684	41029
1,11724	40652
1,11281	40820
1,46941	41000
1,11606	41057
1,46388	40748
1,09214	40760
1,09473	40528
1,09215	40994
1,12711	40909
 
n=10  p=3 
 
0,00254011	139
0,00199294	91
0,00200701	94
0,00569201	121
0,000738144	120
0,00166512	125
0,00122094	112
0,00176597	124
0,00202298	95
0,00338292	134
 
n=20  p=3 
 
0,035008	1786
0,0327179	1969
0,0314908	1819
0,031404	1920
0,028888	1621
0,032059	1591
0,027498	2076
0,034039	1697
0,0287011	1823
0,0397031	1847
 
n=30  p=3 
 
0,150008	4276
0,13392	3636
0,211796	8737
0,21403	7955
0,210854	8370
0,210016	9620
0,180248	5765
0,144275	5297
0,220309	8131
0,174633	6015
 
n=35  p=3 
 
1,26886	33505
1,27953	33533
1,52488	50852
1,37918	34993
1,25065	32336
1,23747	31684
1,44261	37599
1,38589	35296
1,2637	31777
1,36705	39465
 
