n=10  p=2 
 
0,00232792	207	
0,00942087	207	
0,00184798	207	
0,00226879	207	
0,00426412	207	
0,00198817	207	
0,00304103	207	
0,001302	207	
0,00312996	207	
0,00227404	207	


 
n=20  p=2 
 
0,058774	3755	
0,0467281	3755	
0,0396521	3755	
0,0451541	3755	
0,0497479	3755	
0,044024	3755	
0,0403428	3755	
0,0408571	3755	
0,0473719	3755	
0,0591249	3755	
 
n=30  p=2 
 
0,18078	6957	
0,150172	6957	
0,15201	6957	
0,189261	6957	
0,155195	6957	
0,165261	6957	
0,151381	6957	
0,172426	6957	
0,153067	6957	
0,184837	6957	
 
n=35  p=2 
 
1,89249	71107	
2,2394	71107	
1,8898	71107	
1,87647	71107	
1,92641	71107	
1,90054	71107	
1,88431	71107	
1,90782	71107	
2,59052	71107	
1,90122	71107	


 
n=10  p=3 
 
0.00616407	207	
0.00155616	207	
0.0053091	207	
0.0023241	207	
0.00233698	207	
0.00380397	207	
0.00932312	207	
0.00174904	207	
0.00230598	207	
0.00232291	207	
 
n=20  p=3 
 
0.0385959	3755	
0.055995	3755	
0.0491011	3755	
0.0395501	3755	
0.0402391	3755	
0.05373	3755	
0.100237	3755	
0.0543261	3755	
0.0481329	3755	
0.0495751	3755	
 
n=30  p=3 
 
0.2557	6957	
0.181957	6957	
0.199246	6957	
0.227323	6957	
0.177674	6957	
0.192008	6957	
0.178504	6957	
0.201173	6957	
0.210084	6957	
0.188322	6957	
 
n=35  p=3 
 
2.12577	71107	
3.15269	71107	
2.9304	71107	
2.11999	71107	
3.61178	71107	
2.23942	71107	
2.69854	71107	
2.14759	71107	
2.07462	71107	
2.25209	71107	
 ==========================================================
n=10  p=2 
 
0.00417995	207	
0.00381017	207	
0.00208688	207	
0.00242901	207	
0.00415707	207	
0.00227189	207	
0.0019629	207	
0.00294709	207	
0.00173593	207	
0.00258398	207	
 
